Image,MLS#,Address,City,Status,Status Timestamp,Prop Type,Acres,SQFT Total,SQFTAbvGr,Rooms,Beds,Baths,Garage/Park,Built,DOM,Association Amenities,Assessed Value,Driveway Type,Price,Property Tax,Zoning,Handicap Features,Energy Features,HOA Fee Amount,HOA YN,HOA Fee Frequency,Bank Owned or Controlled Property YN,High School,Elementary School,Nearby Amenities,Swimming Pool YN,Direct Waterfront YN,Waterfront Description,Price Change Timestamp,Cooling,Heat Type,Heat Fuel Type,Intermediate School,Exterior Features,Middle Jr High School,Pool Description,Estimated Annual Heat Co,Photo
https://smartmls-assets.cdn-connectmls.com/pics/14E884C645664CF7E063D501100A94F4/HD_1711905801245_20240330_111701.JPEG,170626667,"211  Boulder Ct. , Unit# 211",Bristol,ACTV,02/25/2024,CO,,1940,1940,5,2,2/1,"2 Car Garage, Attached Garage",2023,43,Guest Parking,0,,419900,0,OSD,,"Ridge Vents, Storm Windows",310,Yes,Monthly,No,Bristol Central,South Side,"Golf Course, Health Club, Lake, Library, Park, Playground/Tot Lot, Public Pool, Shopping/Mall",No,No,Not Applicable,,Central Air,Hot Air,Propane,,"Deck, Gutters, Lighting, Patio, Sidewalk, Underground Utilities",,,,
https://smartmls-assets.cdn-connectmls.com/pics/13A18DC9B0C5AE5CE0631401100A738C/HD_1710443529400_20240314_145506.JPEG,170591998,"874  Nut Plains Rd. , Unit# Lot 2",Guilford,ACTV,03/01/2024,,2.32,2732,2732,8,3,2/1,"2 Car Garage, Attached Garage",2024,233,,0,,929900,0,R-5,,"Home Energy Rating, Built Green Certification, Programmable Thermostat, Thermopane Windows",,No,,No,Guilford,Per Board of Ed,"Golf Course, Health Club, Lake, Medical Facilities, Park, Public Transportation, Putting Green, Tennis Courts",No,No,,03/01/2024,Central Air,"Heat Pump, Hydro Air",Propane,Baldwin,"Underground Utilities, Patio",Adams,,,
https://smartmls-assets.cdn-connectmls.com/pics/151018E2182BA305E0631401100A5914/HD_1712062213016_DSCI0453.JPEG,170624561,"54 W. North Sts. , Unit# 205",Stamford,ACTV,02/28/2024,CP,,900,900,4,2,1/0,"0 Car Garage, 1 Total Spaces, None, Parking Lot, Unassigned Parking",1960,41,Elevator,0,,179000,0,CN,,,739,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,"Basketball Court, Health Club, Library, Medical Facilities, Playground/Tot Lot, Public Transportation, Shopping/Mall, Tennis Courts",No,No,,,Wall Unit,"Hot Water, Radiant, Steam",Natural Gas,Per Board of Ed,,Per Board of Ed,,,
https://smartmls-assets.cdn-connectmls.com/pics/13960D7A41B5020AE063D501100A57FC/HD_1710413534719_02_4_Madison_Ln_2.JPEG,170590951,11  South St.,Washington,ACTV,04/02/2024,,0.37,1287,1287,5,2,1/1,"1 Car Garage, Under House Garage",1931,68,,152020,,590000,2166,R-1,,,,No,,No,Shepaug,Washington,,No,No,,,None,Hot Water,Oil,,,,,,
https://smartmls-assets.cdn-connectmls.com/pics/14FC9836E67A0B1CE063D501100A38DA/HD_1711977763758_40_Division_St_Apt_14_Danbury_small_030_006_026_666x444_72dpi.JPEG,24003318,"160  Fairfield Woods Rd. , Unit# APT 58",Fairfield,ACTV,04/05/2024,CO,,1000,1000,4,2,1/0,"0 Car Garage, 2 Total Spaces, None, Assigned Parking",1965,24,"Guest Parking, Pool",141610,,375000,3896,condo,,,649,Yes,Monthly,No,Fairfield Warde,Stratfield,"Golf Course, Health Club, Lake, Library, Medical Facilities, Park, Public Transportation, Shopping/Mall",Yes,Yes,Pond,04/05/2024,Central Air,Hot Air,Natural Gas,,,Tomlinson,In Ground Pool,,
https://smartmls-assets.cdn-connectmls.com/pics/12EEDFA4E3802630E063D501100AB63B/HD_1709686550339_Stonebridge_Townhouse_Alternate_ABBA_csCarbon.JPEG,170603564,999  Lavender Ln.,Southington,ACTV,10/11/2023,,0,3137,3137,9,5,3/1,"2 Car Garage, Attached Garage",2023,182,,0,Paved,842900,0,res,,,0,Yes,Monthly,No,Southington,Per Board of Ed,,No,No,Not Applicable,,Central Air,Hot Air,Natural Gas,Per Board of Ed,,Per Board of Ed,,,
https://smartmls-assets.cdn-connectmls.com/pics/10FA4610DE6F34B5E0631401100A9672/HD_1707513308275_170600793_1.JPEG,170622773,"220  Boulder Ct. , Unit# 220",Bristol,ACTV,02/05/2024,CO,,1940,1940,5,2,2/1,"2 Car Garage, Attached Garage, Paved",2023,63,Guest Parking,0,,419900,0,OSD,,"Programmable Thermostat, Ridge Vents",310,Yes,Monthly,No,Bristol Central,South Side,"Golf Course, Health Club, Library, Medical Facilities, Park, Playground/Tot Lot, Public Pool, Shopping/Mall",No,No,Not Applicable,,"Ceiling Fans, Central Air",Hot Air,Propane,,"Deck, Gutters, Lighting, Patio, Sidewalk, Underground Utilities",,,,
https://smartmls-assets.cdn-connectmls.com/pics/155ACB1BE039B311E0631401100ACF3F/HD_1712327637300_01_145_Canal_St_4.JPEG,170583665,27  Laurel Ln.,Roxbury,ACTV,07/11/2023,,11.4,2277,2277,7,3,2/0,"2 Car Garage, Attached Garage",1982,272,None,471870,"Private, Shared, Paved, Gravel",995000,5946,C,,,,No,,No,Per Board of Ed,Per Board of Ed,"Lake, Library, Park, Private School(s), Stables/Riding, Tennis Courts",No,No,Not Applicable,10/19/2023,Central Air,Hot Air,Oil,,"Deck, Gutters, Shed",,,,
https://smartmls-assets.cdn-connectmls.com/pics/150D9499284F2353E0631401100A6739/HD_1712000364458_B546D4A8_9C8D_464A_B39A_98F9289011A9.JPEG,170626354,"7  Seir Hill Rd. , Unit# 19",Norwalk,ACTV,03/27/2024,CO,,1170,1170,4,2,2/1,"1 Car Garage, Detached Garage",1988,44,,195090,,439000,4871,B2,,,311,Yes,Monthly,No,Norwalk,Silvermine,"Health Club, Medical Facilities, Public Transportation",No,No,Beach Rights,,Central Air,Heat Pump,Electric,,,West Rocks,,,
https://smartmls-assets.cdn-connectmls.com/pics/159EA7CA1D6B39FCE063D501100A89C7/HD_1712625285399_IMG_0346.JPEG,170591782,27  Connerton St.,New Britain,ACTV,10/16/2023,,0.16,1344,1344,6,3,1/0,"0 Car Garage, Off Street Parking",1900,174,,106120,Private,179000,4062,TOD-EM,,,,No,,No,New Britain,Per Board of Ed,,No,No,Not Applicable,11/15/2023,None,Baseboard,Natural Gas,Per Board of Ed,Porch,Per Board of Ed,,,
https://smartmls-assets.cdn-connectmls.com/pics/151018E2182BA305E0631401100A5914/HD_1712018471938_11_copy.JPEG,170625849,"55  Clark St. , Unit# X",Milford,ACTV,02/24/2024,CO,,878,878,4,2,1/0,"0 Car Garage, Off Street Parking, Parking Lot, Unassigned Parking",1982,44,,116130,,289000,3155,RMF1,,,250,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,"Golf Course, Health Club, Library, Medical Facilities, Park, Public Transportation, Shopping/Mall, Walk to Bus Lines",No,No,Not Applicable,,Wall Unit,"Baseboard, Gas on Gas",Natural Gas,Per Board of Ed,Sidewalk,,,,
https://smartmls-assets.cdn-connectmls.com/pics/12CD4C569FA4F3E4E063D501100AC788/HD_1709567222578_Coldwell_345ReefRd_Complex_UNIT_A_REVISED_COLOR_CAM1_8.5x11_11_28_23.JPEG,170602677,1314  Hanover Ave.,Meriden,ACTV,04/05/2024,,0.42,1904,1904,5,3,1/0,"0 Car Garage, 4 Total Spaces, Off Street Parking",1950,365,,156800,Private,199900,5455,R-1,,,,No,,No,Per Board of Ed,Per Board of Ed,,No,No,Not Applicable,04/05/2024,Attic Fan,Other,Oil,,"Garden Area, Porch-Enclosed",,,,
https://smartmls-assets.cdn-connectmls.com/pics/1444A9871FD8F915E063D501100A2955/HD_1711140555787_Bushnell_Tower_front_from_Gold_St..JPEG,170625009,"8  Shares Ln. , Unit# 8",South Windsor,ACTV,04/07/2024,CO,,1850,1850,7,4,2/0,"1 Car Garage, Attached Garage",1850,39,,131200,,399900,4348,SRD,,"Programmable Thermostat, Storm Doors, Thermopane Windows",345,Yes,Monthly,Yes,South Windsor,Per Board of Ed,"Public Transportation, Shopping/Mall, Walk to Bus Lines",No,No,,04/07/2024,Central Air,Baseboard,Oil,,Deck,,,,
https://smartmls-assets.cdn-connectmls.com/pics/1363C10B49BC8136E063D501100A0B98/HD_1710181967524_1_web_or_mls_537A9878_copy.JPEG,170592334,541  Washington Ave.,West Haven,ACTV,08/22/2023,,0.2,4674,3500,13,9,3/2,"2 Car Garage, 5 Total Spaces, Detached Garage, Driveway, Paved",1930,229,,202650,Asphalt,739900,9425,CBD,,,,No,,No,West Haven,Per Board of Ed,"Library, Medical Facilities, Public Transportation, Shopping/Mall, Walk to Bus Lines",No,No,Not Applicable,10/09/2023,Central Air,Hot Air,Natural Gas,,Porch,,,,
https://smartmls-assets.cdn-connectmls.com/pics/13F30F2982320ACFE0631401100A0714/HD_1710784690875_1_1__1_.JPEG,170625667,12  Hillcrest Dr.,Woodbridge,ACTV,04/02/2024,CO,,2028,2028,6,3,2/1,"2 Car Garage, Attached Garage",2024,47,"Club House, Exercise Room/Health Club, Pool",0,,624995,0,residential,,Energy Star Rated,447,Yes,Monthly,No,Per Board of Ed,Per Board of Ed,"Basketball Court, Health Club, Park, Public Rec Facilities",No,No,Not Applicable,04/02/2024,Central Air,Hot Air,Natural Gas,Per Board of Ed,Patio,Per Board of Ed,,,
